layer,head,importance,similarity,mean_jsd,n_prompts_or_windows,n_token_vectors
0,0,0.000745386,0.999255,0.000516662,0,16995
0,1,0.000616459,0.999384,0.000427297,0,16995
0,2,0.00125712,0.998743,0.000871368,0,16995
0,3,0.00120159,0.998798,0.000832877,0,16995
0,4,0.000879225,0.999121,0.000609433,0,16995
0,5,0.000678927,0.999321,0.000470597,0,16995
0,6,0.000742354,0.999258,0.00051456,0,16995
0,7,0.000741443,0.999259,0.000513929,0,16995
0,8,0.00104844,0.998952,0.000726721,0,16995
0,9,0.00149516,0.998505,0.00103636,0,16995
0,10,0.000774025,0.999226,0.000536513,0,16995
0,11,0.000798026,0.999202,0.000553149,0,16995
0,12,0.000727902,0.999272,0.000504543,0,16995
0,13,0.00136262,0.998637,0.000944498,0,16995
0,14,0.00150595,0.998494,0.00104384,0,16995
0,15,0.000803469,0.999197,0.000556922,0,16995
1,0,0.00109307,0.998907,0.000757662,0,16995
1,1,0.00124479,0.998755,0.000862825,0,16995
1,2,0.000559851,0.99944,0.000388059,0,16995
1,3,0.00126861,0.998731,0.000879332,0,16995
1,4,0.00107245,0.998928,0.000743368,0,16995
1,5,0.000586588,0.999413,0.000406592,0,16995
1,6,0.000755091,0.999245,0.000523389,0,16995
1,7,0.00124687,0.998753,0.000864266,0,16995
1,8,0.00117007,0.99883,0.00081103,0,16995
1,9,0.000741275,0.999259,0.000513813,0,16995
1,10,0.00120229,0.998798,0.000833363,0,16995
1,11,0.00111877,0.998881,0.000775474,0,16995
1,12,0.000926143,0.999074,0.000641954,0,16995
1,13,0.00109038,0.99891,0.000755797,0,16995
1,14,0.000761271,0.999239,0.000527673,0,16995
1,15,0.000739725,0.99926,0.000512738,0,16995
2,0,0.00128038,0.99872,0.000887495,0,16995
2,1,0.00113058,0.998869,0.000783659,0,16995
2,2,0.00129437,0.998706,0.000897188,0,16995
2,3,0.00110843,0.998892,0.000768303,0,16995
2,4,0.000959732,0.99904,0.000665236,0,16995
2,5,0.00111517,0.998885,0.000772974,0,16995
2,6,0.00119855,0.998801,0.000830773,0,16995
2,7,0.00101921,0.998981,0.00070646,0,16995
2,8,0.00106715,0.998933,0.000739691,0,16995
2,9,0.00127751,0.998722,0.0008855,0,16995
2,10,0.000769884,0.99923,0.000533643,0,16995
2,11,0.00196185,0.998038,0.00135985,0,16995
2,12,0.00118383,0.998816,0.000820571,0,16995
2,13,0.00108347,0.998917,0.000751006,0,16995
2,14,0.000933647,0.999066,0.000647155,0,16995
2,15,0.00118657,0.998813,0.000822471,0,16995
3,0,0.00242701,0.997573,0.00168227,0,16995
3,1,0.00528356,0.994716,0.00366228,0,16995
3,2,0.00661097,0.993389,0.00458237,0,16995
3,3,0.0025973,0.997403,0.00180031,0,16995
3,4,0.00462743,0.995373,0.00320749,0,16995
3,5,0.00365489,0.996345,0.00253338,0,16995
3,6,0.00820231,0.991798,0.00568541,0,16995
3,7,0.00241173,0.997588,0.00167169,0,16995
3,8,0.00186188,0.998138,0.00129056,0,16995
3,9,0.00253434,0.997466,0.00175667,0,16995
3,10,0.00374081,0.996259,0.00259293,0,16995
3,11,0.00281674,0.997183,0.00195242,0,16995
3,12,0.00388081,0.996119,0.00268997,0,16995
3,13,0.0026799,0.99732,0.00185757,0,16995
3,14,0.00231351,0.997686,0.0016036,0,16995
3,15,0.00250225,0.997498,0.00173443,0,16995
4,0,0.00609497,0.993905,0.00422471,0,16995
4,1,0.0046632,0.995337,0.00323228,0,16995
4,2,0.00510564,0.994894,0.00353896,0,16995
4,3,0.00401251,0.995987,0.00278126,0,16995
4,4,0.00433963,0.99566,0.003008,0,16995
4,5,0.00427389,0.995726,0.00296244,0,16995
4,6,0.00472801,0.995272,0.00327721,0,16995
4,7,0.0057479,0.994252,0.00398414,0,16995
4,8,0.00347304,0.996527,0.00240733,0,16995
4,9,0.00381891,0.996181,0.00264706,0,16995
4,10,0.00773967,0.99226,0.00536473,0,16995
4,11,0.00791417,0.992086,0.00548569,0,16995
4,12,0.00754233,0.992458,0.00522795,0,16995
4,13,0.00686227,0.993138,0.00475656,0,16995
4,14,0.00357645,0.996424,0.00247901,0,16995
4,15,0.00423704,0.995763,0.00293689,0,16995
5,0,0.00867286,0.991327,0.00601157,0,16995
5,1,0.00981827,0.990182,0.00680551,0,16995
5,2,0.00768741,0.992313,0.00532851,0,16995
5,3,0.00846616,0.991534,0.00586829,0,16995
5,4,0.00613703,0.993863,0.00425387,0,16995
5,5,0.00780776,0.992192,0.00541192,0,16995
5,6,0.00746276,0.992537,0.00517279,0,16995
5,7,0.0077932,0.992207,0.00540184,0,16995
5,8,0.0119649,0.988035,0.00829344,0,16995
5,9,0.0106352,0.989365,0.00737175,0,16995
5,10,0.00993878,0.990061,0.00688904,0,16995
5,11,0.00708587,0.992914,0.00491155,0,16995
