layer,head,importance,similarity,mean_jsd,n_prompts_or_windows,n_token_vectors
0,0,0.000867704,0.999132,0.000601447,0,4810
0,1,0.000752611,0.999247,0.00052167,0,4810
0,2,0.00126934,0.998731,0.000879837,0,4810
0,3,0.00132157,0.998678,0.000916041,0,4810
0,4,0.000987436,0.999013,0.000684439,0,4810
0,5,0.000765475,0.999235,0.000530587,0,4810
0,6,0.000899234,0.999101,0.000623302,0,4810
0,7,0.000835069,0.999165,0.000578826,0,4810
0,8,0.00125439,0.998746,0.000869479,0,4810
0,9,0.00153344,0.998467,0.0010629,0,4810
0,10,0.000956777,0.999043,0.000663187,0,4810
0,11,0.00082682,0.999173,0.000573108,0,4810
0,12,0.000880334,0.99912,0.000610201,0,4810
0,13,0.00148625,0.998514,0.00103019,0,4810
0,14,0.00162552,0.998374,0.00112672,0,4810
0,15,0.000876109,0.999124,0.000607272,0,4810
1,0,0.000998926,0.999001,0.000692402,0,4810
1,1,0.0011533,0.998847,0.000799406,0,4810
1,2,0.000547956,0.999452,0.000379814,0,4810
1,3,0.00113126,0.998869,0.00078413,0,4810
1,4,0.000971797,0.999028,0.000673598,0,4810
1,5,0.000554781,0.999445,0.000384545,0,4810
1,6,0.000753753,0.999246,0.000522461,0,4810
1,7,0.00113812,0.998862,0.000788881,0,4810
1,8,0.00107434,0.998926,0.000744676,0,4810
1,9,0.000680358,0.99932,0.000471588,0,4810
1,10,0.00117328,0.998827,0.000813257,0,4810
1,11,0.00104269,0.998957,0.000722736,0,4810
1,12,0.000868829,0.999131,0.000602227,0,4810
1,13,0.00101255,0.998987,0.000701845,0,4810
1,14,0.000731278,0.999269,0.000506883,0,4810
1,15,0.000677686,0.999322,0.000469736,0,4810
2,0,0.00142654,0.998573,0.000988804,0,4810
2,1,0.00120979,0.99879,0.000838565,0,4810
2,2,0.00125118,0.998749,0.000867255,0,4810
2,3,0.00103224,0.998968,0.000715493,0,4810
2,4,0.000909736,0.99909,0.000630581,0,4810
2,5,0.00114361,0.998856,0.000792692,0,4810
2,6,0.00113341,0.998867,0.000785621,0,4810
2,7,0.00109229,0.998908,0.00075712,0,4810
2,8,0.00109693,0.998903,0.000760333,0,4810
2,9,0.00124703,0.998753,0.000864373,0,4810
2,10,0.00074712,0.999253,0.000517864,0,4810
2,11,0.00180456,0.998195,0.00125083,0,4810
2,12,0.0012773,0.998723,0.000885356,0,4810
2,13,0.0010172,0.998983,0.000705068,0,4810
2,14,0.00096043,0.99904,0.000665719,0,4810
2,15,0.00116111,0.998839,0.000804821,0,4810
3,0,0.0024292,0.997571,0.00168379,0,4810
3,1,0.00497887,0.995021,0.00345109,0,4810
3,2,0.00621623,0.993784,0.00430876,0,4810
3,3,0.0023946,0.997605,0.00165981,0,4810
3,4,0.00420474,0.995795,0.0029145,0,4810
3,5,0.00333345,0.996667,0.00231057,0,4810
3,6,0.00771277,0.992287,0.00534609,0,4810
3,7,0.0021169,0.997883,0.00146732,0,4810
3,8,0.00171783,0.998282,0.00119071,0,4810
3,9,0.00252962,0.99747,0.0017534,0,4810
3,10,0.00372266,0.996277,0.00258035,0,4810
3,11,0.00244942,0.997551,0.00169781,0,4810
3,12,0.00367582,0.996324,0.00254789,0,4810
3,13,0.00262274,0.997377,0.00181794,0,4810
3,14,0.00210533,0.997895,0.0014593,0,4810
3,15,0.00228094,0.997719,0.00158103,0,4810
4,0,0.00525242,0.994748,0.0036407,0,4810
4,1,0.00424794,0.995752,0.00294445,0,4810
4,2,0.00455736,0.995443,0.00315892,0,4810
4,3,0.00407929,0.995921,0.00282755,0,4810
4,4,0.0040154,0.995985,0.00278326,0,4810
4,5,0.00388864,0.996111,0.0026954,0,4810
4,6,0.00405439,0.995946,0.00281029,0,4810
4,7,0.00540756,0.994592,0.00374824,0,4810
4,8,0.00311815,0.996882,0.00216134,0,4810
4,9,0.00412177,0.995878,0.00285699,0,4810
4,10,0.00758681,0.992413,0.00525878,0,4810
4,11,0.0072816,0.992718,0.00504722,0,4810
4,12,0.00693009,0.99307,0.00480357,0,4810
4,13,0.00615481,0.993845,0.00426619,0,4810
4,14,0.00343349,0.996567,0.00237992,0,4810
4,15,0.00392882,0.996071,0.00272325,0,4810
5,0,0.00839056,0.991609,0.00581589,0,4810
5,1,0.0097002,0.9903,0.00672366,0,4810
5,2,0.00675147,0.993249,0.00467977,0,4810
5,3,0.00791255,0.992087,0.00548456,0,4810
5,4,0.00564079,0.994359,0.0039099,0,4810
5,5,0.00729156,0.992708,0.00505413,0,4810
5,6,0.00743734,0.992563,0.00515517,0,4810
5,7,0.00750748,0.992493,0.00520379,0,4810
5,8,0.0119149,0.988085,0.0082588,0,4810
5,9,0.0103897,0.98961,0.00720161,0,4810
5,10,0.00948515,0.990515,0.0065746,0,4810
5,11,0.00745179,0.992548,0.00516519,0,4810
5,12,0.00848942,0.991511,0.00588442,0,4810
5,13,0.00649119,0.993509,0.00449935,0,4810
5,14,0.00681003,0.99319,0.00472036,0,4810
5,15,0.00882552,0.991174,0.00611738,0,4810
6,0,0.0145014,0.985499,0.0100516,0,4810
6,1,0.0174396,0.98256,0.0120882,0,4810
6,2,0.00935056,0.990649,0.00648131,0,4810
6,3,0.0289893,0.971011,0.0200938,0,4810
6,4,0.0310131,0.968987,0.0214967,0,4810
6,5,0.00755341,0.992447,0.00523563,0,4810
6,6,0.0140978,0.985902,0.00977182,0,4810
6,7,0.012675,0.987325,0.00878562,0,4810
6,8,0.00909495,0.990905,0.00630414,0,4810
6,9,0.0095373,0.990463,0.00661076,0,4810
6,10,0.0286979,0.971302,0.0198919,0,4810
6,11,0.00740822,0.992592,0.00513499,0,4810
6,12,0.00634229,0.993658,0.00439614,0,4810
6,13,0.00796019,0.99204,0.00551758,0,4810
6,14,0.00724955,0.99275,0.00502501,0,4810
6,15,0.0103984,0.989602,0.00720761,0,4810
7,0,0.0162613,0.983739,0.0112715,0,4810
7,1,0.0144668,0.985533,0.0100276,0,4810
7,2,0.00915571,0.990844,0.00634626,0,4810
7,3,0.00774866,0.992251,0.00537096,0,4810
7,4,0.0124233,0.987577,0.00861117,0,4810
7,5,0.0243748,0.975625,0.0168953,0,4810
7,6,0.0208814,0.979119,0.0144739,0,4810
7,7,0.0085995,0.9914,0.00596072,0,4810
7,8,0.0126521,0.987348,0.00876977,0,4810
7,9,0.0171118,0.982888,0.011861,0,4810
7,10,0.0140816,0.985918,0.00976059,0,4810
7,11,0.0086962,0.991304,0.00602774,0,4810
7,12,0.00920721,0.990793,0.00638195,0,4810
7,13,0.0121569,0.987843,0.00842649,0,4810
7,14,0.0128695,0.98713,0.00892046,0,4810
7,15,0.00846378,0.991536,0.00586665,0,4810
8,0,0.010862,0.989138,0.00752895,0,4810
8,1,0.0135738,0.986426,0.00940863,0,4810
8,2,0.0114262,0.988574,0.00792002,0,4810
8,3,0.0165786,0.983421,0.0114914,0,4810
8,4,0.0108914,0.989109,0.00754934,0,4810
8,5,0.0142329,0.985767,0.00986548,0,4810
8,6,0.0187903,0.98121,0.0130245,0,4810
8,7,0.0137777,0.986222,0.00954994,0,4810
8,8,0.0246816,0.975318,0.017108,0,4810
8,9,0.0199387,0.980061,0.0138204,0,4810
8,10,0.0154587,0.984541,0.0107152,0,4810
8,11,0.0149354,0.985065,0.0103525,0,4810
8,12,0.0132776,0.986722,0.00920331,0,4810
8,13,0.0100308,0.989969,0.00695284,0,4810
8,14,0.0159119,0.984088,0.0110293,0,4810
8,15,0.0247692,0.975231,0.0171687,0,4810
9,0,0.0261812,0.973819,0.0181474,0,4810
9,1,0.0310772,0.968923,0.0215411,0,4810
9,2,0.0163552,0.983645,0.0113366,0,4810
9,3,0.0178665,0.982134,0.0123841,0,4810
