layer,head,importance,similarity,mean_jsd,n_prompts_or_windows,n_token_vectors
0,0,0.000701632,0.999298,0.000486334,0,9853
0,1,0.000600825,0.999399,0.00041646,0,9853
0,2,0.00111127,0.998889,0.000770277,0,9853
0,3,0.00114073,0.998859,0.000790697,0,9853
0,4,0.00083307,0.999167,0.00057744,0,9853
0,5,0.000641783,0.999358,0.00044485,0,9853
0,6,0.000736888,0.999263,0.000510772,0,9853
0,7,0.000707426,0.999293,0.00049035,0,9853
0,8,0.00101637,0.998984,0.000704495,0,9853
0,9,0.00139479,0.998605,0.000966798,0,9853
0,10,0.000781397,0.999219,0.000541623,0,9853
0,11,0.0007334,0.999267,0.000508354,0,9853
0,12,0.000709095,0.999291,0.000491507,0,9853
0,13,0.0012633,0.998737,0.000875652,0,9853
0,14,0.00138624,0.998614,0.00096087,0,9853
0,15,0.000726595,0.999273,0.000503637,0,9853
1,0,0.00104403,0.998956,0.00072367,0,9853
1,1,0.00122704,0.998773,0.000850516,0,9853
1,2,0.000549203,0.999451,0.000380679,0,9853
1,3,0.00118159,0.998818,0.000819019,0,9853
1,4,0.00101214,0.998988,0.000701561,0,9853
1,5,0.000553776,0.999446,0.000383848,0,9853
1,6,0.000766249,0.999234,0.000531123,0,9853
1,7,0.00119072,0.998809,0.000825342,0,9853
1,8,0.00112318,0.998877,0.000778531,0,9853
1,9,0.000710909,0.999289,0.000492765,0,9853
1,10,0.00120758,0.998792,0.000837033,0,9853
1,11,0.00109388,0.998906,0.000758219,0,9853
1,12,0.000893149,0.999107,0.000619084,0,9853
1,13,0.00104519,0.998955,0.000724467,0,9853
1,14,0.000742572,0.999257,0.000514712,0,9853
1,15,0.000736582,0.999263,0.00051056,0,9853
2,0,0.0012434,0.998757,0.000861859,0,9853
2,1,0.00105968,0.99894,0.000734514,0,9853
2,2,0.00124793,0.998752,0.000864999,0,9853
2,3,0.00105481,0.998945,0.000731137,0,9853
2,4,0.000921314,0.999079,0.000638606,0,9853
2,5,0.00105708,0.998943,0.000732714,0,9853
2,6,0.00113961,0.99886,0.000789916,0,9853
2,7,0.00094327,0.999057,0.000653825,0,9853
2,8,0.00103875,0.998961,0.000720007,0,9853
2,9,0.00122927,0.998771,0.000852065,0,9853
2,10,0.000722245,0.999278,0.000500622,0,9853
2,11,0.00183264,0.998167,0.00127029,0,9853
2,12,0.00116799,0.998832,0.000809592,0,9853
2,13,0.00101197,0.998988,0.000701447,0,9853
2,14,0.000866364,0.999134,0.000600518,0,9853
2,15,0.00109456,0.998905,0.000758694,0,9853
3,0,0.00235034,0.99765,0.00162913,0,9853
3,1,0.00494514,0.995055,0.00342771,0,9853
3,2,0.00630673,0.993693,0.00437149,0,9853
3,3,0.00246655,0.997533,0.00170968,0,9853
3,4,0.00458215,0.995418,0.00317611,0,9853
3,5,0.00361014,0.99639,0.00250236,0,9853
3,6,0.00775065,0.992249,0.00537234,0,9853
3,7,0.00241597,0.997584,0.00167462,0,9853
3,8,0.00183831,0.998162,0.00127422,0,9853
3,9,0.00245741,0.997543,0.00170335,0,9853
3,10,0.00372493,0.996275,0.00258193,0,9853
3,11,0.00284172,0.997158,0.00196973,0,9853
3,12,0.00362637,0.996374,0.00251361,0,9853
3,13,0.00261738,0.997383,0.00181423,0,9853
3,14,0.00225996,0.99774,0.00156649,0,9853
3,15,0.00242223,0.997578,0.00167896,0,9853
4,0,0.0058782,0.994122,0.00407446,0,9853
4,1,0.00456183,0.995438,0.00316202,0,9853
4,2,0.00503278,0.994967,0.00348846,0,9853
4,3,0.00403646,0.995964,0.00279786,0,9853
4,4,0.00408338,0.995917,0.00283038,0,9853
4,5,0.00402936,0.995971,0.00279294,0,9853
4,6,0.00458755,0.995412,0.00317985,0,9853
4,7,0.00567278,0.994327,0.00393207,0,9853
4,8,0.00348642,0.996514,0.0024166,0,9853
4,9,0.00379791,0.996202,0.00263251,0,9853
4,10,0.00723418,0.992766,0.00501435,0,9853
4,11,0.00772217,0.992278,0.0053526,0,9853
4,12,0.0072783,0.992722,0.00504494,0,9853
4,13,0.00646702,0.993533,0.0044826,0,9853
4,14,0.00339216,0.996608,0.00235127,0,9853
4,15,0.00409309,0.995907,0.00283711,0,9853
5,0,0.00876016,0.99124,0.00607208,0,9853
5,1,0.00956877,0.990431,0.00663256,0,9853
