layer,head,importance,similarity,mean_jsd,n_prompts_or_windows,n_token_vectors
0,0,0.00072017,0.99928,0.000499184,0,2166
0,1,0.000630376,0.99937,0.000436943,0,2166
0,2,0.00120496,0.998795,0.000835212,0,2166
0,3,0.00117767,0.998822,0.000816296,0,2166
0,4,0.000856179,0.999144,0.000593458,0,2166
0,5,0.000682095,0.999318,0.000472792,0,2166
0,6,0.000757476,0.999243,0.000525043,0,2166
0,7,0.000708196,0.999292,0.000490884,0,2166
0,8,0.00106631,0.998934,0.00073911,0,2166
0,9,0.0015142,0.998486,0.00104957,0,2166
0,10,0.000779536,0.99922,0.000540333,0,2166
0,11,0.000784774,0.999215,0.000543964,0,2166
0,12,0.000705146,0.999295,0.00048877,0,2166
0,13,0.00136091,0.998639,0.000943314,0,2166
0,14,0.00152179,0.998478,0.00105482,0,2166
0,15,0.00076095,0.999239,0.00052745,0,2166
1,0,0.00109288,0.998907,0.000757523,0,2166
1,1,0.00126234,0.998738,0.000874986,0,2166
1,2,0.00056913,0.999431,0.000394491,0,2166
1,3,0.00130702,0.998693,0.000905957,0,2166
1,4,0.00109446,0.998906,0.000758625,0,2166
1,5,0.000585779,0.999414,0.000406031,0,2166
1,6,0.000767328,0.999233,0.000531871,0,2166
1,7,0.00128562,0.998714,0.000891121,0,2166
1,8,0.0012821,0.998718,0.000888682,0,2166
1,9,0.000763005,0.999237,0.000528874,0,2166
1,10,0.0012536,0.998746,0.000868928,0,2166
1,11,0.00112417,0.998876,0.000779216,0,2166
1,12,0.000987148,0.999013,0.000684239,0,2166
1,13,0.00113508,0.998865,0.000786777,0,2166
1,14,0.000775649,0.999224,0.000537639,0,2166
1,15,0.000752461,0.999248,0.000521566,0,2166
2,0,0.00127576,0.998724,0.000884289,0,2166
2,1,0.00111651,0.998883,0.000773908,0,2166
2,2,0.00129737,0.998703,0.000899266,0,2166
2,3,0.00112195,0.998878,0.000777674,0,2166
2,4,0.000984442,0.999016,0.000682363,0,2166
2,5,0.00112169,0.998878,0.000777497,0,2166
2,6,0.00119079,0.998809,0.000825392,0,2166
2,7,0.00102447,0.998976,0.000710106,0,2166
2,8,0.00108594,0.998914,0.000752719,0,2166
2,9,0.00132595,0.998674,0.000919078,0,2166
2,10,0.000775848,0.999224,0.000537777,0,2166
2,11,0.00200335,0.997997,0.00138862,0,2166
2,12,0.00119262,0.998807,0.00082666,0,2166
2,13,0.00108859,0.998911,0.000754553,0,2166
2,14,0.000940225,0.99906,0.000651714,0,2166
2,15,0.00117534,0.998825,0.000814682,0,2166
3,0,0.00243849,0.997562,0.00169023,0,2166
3,1,0.0053639,0.994636,0.00371798,0,2166
3,2,0.00690709,0.993093,0.00478763,0,2166
3,3,0.00262763,0.997372,0.00182133,0,2166
3,4,0.0047526,0.995247,0.00329425,0,2166
3,5,0.00371938,0.996281,0.00257807,0,2166
3,6,0.00848184,0.991518,0.00587916,0,2166
3,7,0.00245465,0.997545,0.00170143,0,2166
3,8,0.00187775,0.998122,0.00130156,0,2166
3,9,0.00254865,0.997451,0.00176659,0,2166
3,10,0.00379832,0.996202,0.0026328,0,2166
3,11,0.00291006,0.99709,0.0020171,0,2166
3,12,0.00397862,0.996021,0.00275777,0,2166
3,13,0.00266935,0.997331,0.00185025,0,2166
3,14,0.00235862,0.997641,0.00163487,0,2166
3,15,0.0025429,0.997457,0.0017626,0,2166
4,0,0.00595517,0.994045,0.00412781,0,2166
4,1,0.00463896,0.995361,0.00321548,0,2166
4,2,0.00511071,0.994889,0.00354247,0,2166
4,3,0.00400755,0.995992,0.00277782,0,2166
4,4,0.00437663,0.995623,0.00303365,0,2166
4,5,0.00427089,0.995729,0.00296036,0,2166
4,6,0.00477487,0.995225,0.00330969,0,2166
4,7,0.00572222,0.994278,0.00396634,0,2166
4,8,0.00347366,0.996526,0.00240776,0,2166
4,9,0.00385502,0.996145,0.00267209,0,2166
4,10,0.00754413,0.992456,0.0052292,0,2166
4,11,0.00790782,0.992092,0.00548128,0,2166
4,12,0.00756218,0.992438,0.00524171,0,2166
4,13,0.00687695,0.993123,0.00476674,0,2166
4,14,0.00351884,0.996481,0.00243908,0,2166
4,15,0.00416782,0.995832,0.00288891,0,2166
5,0,0.00873137,0.991269,0.00605212,0,2166
5,1,0.00992013,0.99008,0.00687611,0,2166
5,2,0.00771483,0.992285,0.00534751,0,2166
5,3,0.00849395,0.991506,0.00588755,0,2166
5,4,0.00621362,0.993786,0.00430695,0,2166
5,5,0.00776973,0.99223,0.00538556,0,2166
5,6,0.00747517,0.992525,0.00518139,0,2166
5,7,0.00778949,0.992211,0.00539927,0,2166
5,8,0.0120884,0.987912,0.00837906,0,2166
5,9,0.0107633,0.989237,0.00746054,0,2166
5,10,0.0101121,0.989888,0.00700919,0,2166
5,11,0.00705573,0.992944,0.00489066,0,2166
5,12,0.00851292,0.991487,0.00590071,0,2166
5,13,0.00693647,0.993064,0.00480799,0,2166
5,14,0.00727246,0.992728,0.00504088,0,2166
5,15,0.00888954,0.99111,0.00616176,0,2166
6,0,0.0166267,0.983373,0.0115247,0,2166
6,1,0.0206664,0.979334,0.0143248,0,2166
6,2,0.0108203,0.98918,0.00750009,0,2166
6,3,0.0306284,0.969372,0.02123,0,2166
6,4,0.0331161,0.966884,0.0229544,0,2166
6,5,0.00892695,0.991073,0.00618769,0,2166
6,6,0.0155542,0.984446,0.0107814,0,2166
6,7,0.0143144,0.985686,0.00992202,0,2166
6,8,0.010423,0.989577,0.0072247,0,2166
6,9,0.0108945,0.989106,0.00755147,0,2166
6,10,0.031401,0.968599,0.0217655,0,2166
6,11,0.00827828,0.991722,0.00573807,0,2166
6,12,0.00755105,0.992449,0.00523399,0,2166
6,13,0.00927509,0.990725,0.00642901,0,2166
6,14,0.00860187,0.991398,0.00596237,0,2166
6,15,0.0119188,0.988081,0.00826149,0,2166
7,0,0.0162996,0.9837,0.011298,0,2166
7,1,0.0155376,0.984462,0.0107698,0,2166
7,2,0.00975801,0.990242,0.00676374,0,2166
7,3,0.00883775,0.991162,0.00612586,0,2166
7,4,0.0148912,0.985109,0.0103218,0,2166
7,5,0.0278634,0.972137,0.0193134,0,2166
7,6,0.0233131,0.976687,0.0161594,0,2166
7,7,0.0103908,0.989609,0.00720237,0,2166
7,8,0.0138886,0.986111,0.00962685,0,2166
7,9,0.0186514,0.981349,0.0129282,0,2166
7,10,0.0152807,0.984719,0.0105918,0,2166
7,11,0.00995381,0.990046,0.00689946,0,2166
7,12,0.0104442,0.989556,0.00723936,0,2166
7,13,0.0138082,0.986192,0.00957113,0,2166
