op name, kernel name, exec duration (ms), global size, local size, output size
attn_norm-0,kernel_rms_norm_mul,0.070600,131072x1x1,1024x1x1,3584x128x1x1
Qcur-0,kernel_add_row,0.053400,114688x0x0,64x0x0,3584x128x1x1
Qcur-0,kernel_rope_neox_f32,0.045800,1792x128x1,64x1x1,128x28x128x1
Kcur-0,kernel_add_row,0.007500,16384x0x0,64x0x0,512x128x1x1
Kcur-0,kernel_rope_neox_f32,0.005900,256x128x1,64x1x1,128x4x128x1
node_11,kernel_mul_mv_q6_K_f32,7.523000,512x8192x1,2x64x1,512x128x1x1
Vcur-0,kernel_add_row,0.005500,16384x0x0,64x0x0,512x128x1x1
cache_k_l0 (view),kernel_set_rows_f16_i64,0.008600,65536x1x1,512x1x1,512x4096x1x1
cache_v_l0 (view),kernel_set_rows_f16_i64,0.007000,65536x1x1,512x1x1,512x4096x1x1
 (copy),kernel_cpy_f32_f16,0.005000,8192x1x1,64x1x1,256x128x1x1
__fattn__-0,flash_attn_f32_f16,9.720300,128x28x0,32x1x0,128x28x128x1
ffn_inp-0,kernel_add,0.084300,8192x1x1,64x1x1,3584x128x1x1
ffn_norm-0,kernel_rms_norm_mul,0.046000,131072x1x1,1024x1x1,3584x128x1x1
ffn_swiglu-0,kernel_swiglu,0.416200,65536x1x1,512x1x1,18944x128x1x1
ffn_out-0,kernel_mul_mv_q6_K_f32,265.632294,3584x8192x1,2x64x1,3584x128x1x1
l_out-0,kernel_add,0.075100,8192x1x1,64x1x1,3584x128x1x1
attn_norm-1,kernel_rms_norm_mul,0.046600,131072x1x1,1024x1x1,3584x128x1x1
Qcur-1,kernel_add_row,0.082300,114688x0x0,64x0x0,3584x128x1x1
Qcur-1,kernel_rope_neox_f32,0.046200,1792x128x1,64x1x1,128x28x128x1
Kcur-1,kernel_add_row,0.016100,16384x0x0,64x0x0,512x128x1x1
Kcur-1,kernel_rope_neox_f32,0.006000,256x128x1,64x1x1,128x4x128x1
node_46,kernel_mul_mv_q6_K_f32,7.657200,512x8192x1,2x64x1,512x128x1x1
