op name, kernel name, exec duration (ms), global size, local size, output size
attn_norm-0,kernel_rms_norm_mul,0.024700,65536x1x1,1024x1x1,2048x64x1x1
q-0,kernel_transpose_32_16,0.019600,512x16x0,1x16x0,3072x64x1x1
q-0,kernel_mul_mat_Ab_Bi_8x4,0.413800,8x768x1,1x128x1,3072x64x1x1
q_pe-0,kernel_rope_norm_f32,0.015400,1024x64x1,64x1x1,64x16x64x1
Qcur-0,kernel_concat_f32_non_contiguous,0.372200,16x64x1,0x0x0,192x16x64x1
kv_cmpr_pe-0,kernel_transpose_32_16,0.010100,512x16x0,1x16x0,576x64x1x1
kv_cmpr_pe-0,kernel_mul_mat_Ab_Bi_8x4,0.329100,8x144x1,1x128x1,576x64x1x1
k_pe-0,kernel_rope_norm_f32,0.002700,64x64x1,64x1x1,64x1x64x1
node_11,kernel_repeat,0.272200,16x64x1,0x0x0,64x16x64x1
kv_cmpr-0,kernel_rms_norm_mul,0.009600,32768x1x1,512x1x1,512x64x1x1
kv-0,kernel_transpose_32_16,0.003800,128x16x0,1x16x0,4096x64x1x1
kv-0,kernel_mul_mat_Ab_Bi_8x4,0.138000,8x1024x1,1x128x1,4096x64x1x1
Kcur-0,kernel_concat_f32_non_contiguous,0.408800,16x64x1,0x0x0,192x16x64x1
Vcur_cont-0,kernel_cpy_f32_f32,0.013400,1024x64x1,64x1x1,128x16x64x1
cache_k_l0 (view),kernel_set_rows_f16_i64,0.015900,65536x1x1,1024x1x1,3072x4096x1x1
cache_v_l0 (view),kernel_set_rows_f16_i64,0.011900,65536x1x1,1024x1x1,2048x4096x1x1
 (copy),kernel_cpy_f32_f16,0.003900,4096x1x1,64x1x1,256x64x1x1
__fattn__-0,flash_attn_f32_f16,4.969100,64x16x0,16x1x0,128x16x64x1
node_33,kernel_transpose_32_16,0.010200,512x16x0,1x16x0,2048x64x1x1
node_33,kernel_mul_mat_Ab_Bi_8x4,0.387800,8x512x1,1x128x1,2048x64x1x1
ffn_inp-0,kernel_add,0.021800,4096x1x1,64x1x1,2048x64x1x1
ffn_norm-0,kernel_rms_norm_mul,0.020400,65536x1x1,1024x1x1,2048x64x1x1
ffn_gate-0,kernel_transpose_32_16,0.010400,512x16x0,1x16x0,10944x64x1x1
